Last metadata expiration check: 20:51:34 ago on Tue 12 Aug 2025 02:29:57 PM EDT.
Dependencies resolved.
==========================================================================================================================================================
 Package                                    Architecture          Version                                           Repository                       Size
==========================================================================================================================================================
Installing:
 unbound-libs                               x86_64                1.16.2-5.9.el8_10                                 rhel08-appstream                577 k
 unzip                                      x86_64                6.0-48.el8_10                                     rhel08-baseos                   196 k
 webkit2gtk3                                x86_64                2.48.3-1.el8_10                                   rhel08-appstream                 26 M
 webkit2gtk3-jsc                            x86_64                2.48.3-1.el8_10                                   rhel08-appstream                7.7 M
Installing dependencies:
 cvmfs-fuse3                                x86_64                2.13.2-1.el8                                      cvmfs                            14 M
 grub2-tools-efi                            x86_64                1:2.02-167.el8_10                                 rhel08-baseos                   487 k
 grub2-tools-extra                          x86_64                1:2.02-167.el8_10                                 rhel08-baseos                   1.1 M
 kernel-core                                x86_64                4.18.0-553.69.1.el8_10                            rhel08-baseos                    44 M
 kernel-modules                             x86_64                4.18.0-553.69.1.el8_10                            rhel08-baseos                    36 M

Transaction Summary
==========================================================================================================================================================
Install    8 Packages
Upgrade  147 Packages

Total download size: 983 M
Is this ok [y/N]: n
Operation aborted.
